Intensity,Wavelength (nm),Element
5.8,1157.68182,Th 
54,1157.86836,Th 
13,1158.14238,Th 
21,1158.2284,Ar 
26,1158.301,Th 
386,1158.35605,Ar 
11.2,1158.44755,Th 
6.9,1158.58821,Th   
69,1159.31256,Th 
440,1159.91584,Th 
13.5,1160.0172,Th 
18,1160.57662,Th 
36,1160.86454,Th 
21.1,1161.30884,Th 
22,1161.64909,Th 
12.4,1161.8385,Th 
318,1162.06397,Th 
30.4,1162.13709,Th 
11.9,1163.5139,Th
5.8,1163.55256,Th 
62,1163.77865,Th 
33,1163.93352,Th 
6.9,1163.96834,Th 
14.2,1163.97708,Th 
9.6,1164.43815,Th 
9.2,1165.16899,Th 
9,1166.0449,Th 
16.8,1166.19739,Th 
31,1166.43677,Th 
21.1,1166.61065,Th 
224,1167.08327,Th 
14800,1167.19043,Ar 
8,1168.1503,Th 
284,1168.16831,Ar 
7.4,1168.61085,Th 
308,1169.0803,Ar 
8.3,1169.71997,Th 
20.9,1169.7479,Th 
10.4,1169.84612,Th 
32,1170.20288,Th 
750,1170.66565,Th 
148,1171.14115,Ar 
34,1171.54233,Th 
9.5,1171.70953,Th 
3130,1172.26969,Ar 
31,1172.38292,Th   
6.4,1172.569,Th 
13.1,1172.64918,Th 
8.6,1173.25438,Th 
1840,1173.64426,Ar 
9.2,1176.04852,Th   
5.1,1176.47569,Th 
12.2,1176.98741,Th 
110,1177.83894,Th 
32,1177.96362,Th
10,1178.27501,Th 
4.6,1179.36063,Th 
14.3,1179.58713,Th 
5.4,1179.62894,Th 
8.5,1180.53395,Th 
42,1180.73419,Th 
325,1180.78479,Th 
8.1,1181.05422,Th
16.4,1181.51564,Th 
12.5,1182.17798,Th 
8.7,1182.50724,Th 
74,1182.58717,Th 
9.5,1182.81403,Th 
40,1183.08174,Th 
203,1183.28754,Th 
63,1183.29715,Th 
16.7,1183.81747,Th 
20,1184.04205,Th 
5.4,1184.29291,Th
144,1186.16271,Th 
10.5,1186.544,Th 
650,1186.74939,Th 
25.3,1186.88873,Th
46,1187.16151,Th 
8.9,1187.38804,Th 
25.2,1187.71056,Th 
12.7,1187.74531,Th
18.7,1187.78716,Th 
100,1187.80977,Ar
11,1188.18603,Th 
174,1188.32369,Ar 
17.2,1188.60241,Th 
1200,1188.77334,Ar 
138,1188.77831,Th 
13,1188.93341,Th
7.1,1189.06058,Th 
7.4,1189.20746,Th 
24,1189.81982,Th 
400,1189.98895,Ar 
50,1190.30911,Th 
7.9,1191.31163,Th 
20.9,1191.4767,Th
30.6,1191.98448,Th 
6,1192.84667,Th 
730,1194.3905,Th 
208,1194.53949,Th 
2870,1194.65475,Ar 
1550,1194.71353,Ar 
450,1194.86283,Th 
5.6,1194.86857,Th 
7.1,1194.9882,Th 
117,1195.53365,Th 
5.3,1196.34167,Th
3.9,1196.48427,Th 
6.9,1197.74114,Th 
172,1198.7948,Th
5.1,1200.9235,Th 
24,1201.11464,Th
37,1201.9233,Th 
86,1202.13393,Th 
610,1202.20052,Th 
9.1,1202.33823,Th 
1760,1202.99409,Ar 
43,1204.0931,Th 
7.5,1204.15406,Th 
5.2,1204.62386,Th 
4.8,1205.45575,Th 
8,1206.4839,Th 
12,1206.9576,Ar
16.6,1207.79666,Th 
4.8,1207.88391,Th 
8.7,1208.55224,Th 
8,1209.0677,Th
92,1209.28715,Ar
11,1210.30888,Th 
7.5,1211.26239,Th 
24,1211.27473,Th 
20700,1211.56411,Ar 
48,1212.29585,Th 
65,1212.57564,Ar
174,1212.97373,Th 
710,1213.06196,Th 
8.2,1213.22235,Th 
200,1213.27427,Th 
27.7,1213.53349,Th 
5.2,1214.2339,Th 
15700,1214.30614,Ar 
4.5,1214.40675,Th 
42,1214.4271,Th 
11.5,1214.96389,Th   
58,1215.27142,Ar 
780,1215.46911,Ar 
49,1216.57517,Th 
36,1216.7915,Ar
25.6,1217.11484,Th 
20.9,1217.50635,Th 
73,1217.51453,Th 
15.7,1218.09344,Th   
13.4,1218.17794,Th 
23.4,1218.53521,Th 
5.5,1219.2203,Th 
93,1219.74998,Th
400,1221.02331,Th 
14.4,1221.08024,Th 
15.8,1221.52081,Th 
9.8,1221.6338,Ar 
4.3,1221.97573,Th 
8.3,1222.7126,Th 
105,1222.95257,Th 
7,1222.9947,Th 
5.6,1223.26844,Th 
1150,1223.52911,Th 
266,1223.65447,Th 
120,1223.77237,Ar 
4.9,1223.8293,Th 
10.7,1223.98944,Th 
4.5,1224.06781,Th 
8.5,1224.83291,Th
28.4,1224.88351,Th 
80,1225.25345,Th 
13.8,1226.00931,Th 
12,1226.52615,Th 
7.8,1226.5603,Th 
4.8,1226.6793,Th 
13.4,1227.4757,Th 
10.3,1227.72128,Th 
20,1227.7449,Ar 
4.4,1229.63178,Th 
10.1,1229.83495,Th 
3.3,1229.92847,Th 
22,1231.34277,Th 
14.5,1231.6097,Th 
5.6,1231.97415,Th 
13.9,1232.02833,Th 
41,1232.14191,Th 
26.4,1232.44863,Th 
7.9,1233.18574,Th 
12.8,1233.25738,Th 
5,1233.41731,Th 
580,1234.13736,Th 
10100,1234.67711,Ar 
10.1,1235.28601,Th 
31,1235.53596,Th 
355,1235.92023,Ar 
4600,1235.96736,Ar 
18,1236.30069,Th 
4.4,1236.7645,Th 
10.7,1237.53852,Th 
10.4,1237.58813,Th
102,1238.1074,Ar 
6.6,1238.16725,Th 
35,1238.51992,Th 
34,1240.12397,Th 
40900,1240.62215,Ar 
115,1240.70455,Ar   
9.9,1240.95825,Th 
213,1241.85563,Th 
15,1242.25579,Th 
1280,1242.27879,Ar 
136,1242.34231,Ar 
60,1242.56931,Th 
7.8,1243.26799,Th 
4.6,1243.39853,Th   
55500,1244.2726,Ar 
7.2,1244.31989,Th 
5.5,1244.40439,Th 
125,1244.54126,Th 
30,1244.87922,Th 
3.5,1244.97517,Th 
172,1245.08968,Th 
13.8,1245.66673,Th 
20.7,1245.79209,Th 
29800,1245.95223,Ar 
57,1246.43819,Th 
28,1246.84588,Th 
104,1247.26389,Th 
13.5,1247.77753,Th 
30.7,1247.97131,Th 
400,1248.07092,Th 
49500,1249.10794,Ar 
6.2,1249.20898,Th 
11.9,1250.31101,Th   
17.5,1250.61888,Th 
18.3,1251.18156,Th 
25.6,1252.16177,Th 
4.6,1252.2692,Th 
8.1,1253.06576,Th   
10.3,1254.4396,Th 
24,1254.9166,Ar 
52,1255.62302,Th 
86,1255.64625,Th 
680,1255.77626,Ar 
6.4,1256.22862,Th 
6.2,1256.4602,Th 
9.8,1256.49892,Th 
6.4,1256.60825,Th 
5.7,1256.72688,Th 
10.5,1257.18556,Th   
17.1,1257.51305,Th 
6.1,1258.35356,Th 
9.8,1258.36771,Th 
6.7,1258.66645,Th 
43,1259.13305,Th 
15,1259.8145,Ar 
322,1259.96556,Ar 
13.4,1260.80916,Th 
15.2,1261.38374,Th 
3.8,1262.06498,Th 
33,1262.38197,Ar
890,1262.50717,Ar 
21.5,1263.60013,Th 
124,1263.95996,Th 
460,1264.1939,Ar 
21.7,1264.48365,Th 
10.4,1264.58021,Th
90,1264.91504,Th 
1550,1264.9994,Th
6.5,1265.18438,Th 
10.6,1265.27095,Th   
4.8,1265.3411,Ar 
124,1265.38015,Ar 
57,1266.476,Ar 
10.5,1267.22298,Th 
11.4,1267.44053,Th   
12.6,1267.74188,Th 
67,1268.36266,Ar
7.3,1268.66819,Th
20,1268.82872,Th
7.6,1268.89335,Th 
9,1269.3516,Th 
30.6,1269.48886,Th 
8,1270.0433,Ar 
26600,1270.57571,Ar 
107,1271.28037,Th 
50,1271.32947,Th 
4.5,1272.4279,Th 
15.2,1272.63889,Th 
20,1273.5893,Ar
6200,1273.69011,Ar 
20.6,1273.70588,Th 
13.9,1274.69898,Th 
4300,1274.97187,Ar 
234,1276.55862,Th 
46,1276.94345,Ar 
82,1277.63237,Ar 
3.6,1277.66754,Th 
91,1278.50716,Th 
7.8,1278.55489,Th 
4.7,1278.57806,Th 
102,1278.62744,Ar
26,1279.50451,Ar 
61,1279.89697,Ar 
11.3,1280.34528,Th 
25900,1280.62419,Ar 
78,1281.69872,Ar 
13,1282.6934,Ar 
32.5,1283.03117,Th 
24.8,1283.40518,Th 
9.4,1283.82415,Th 
10,1283.91228,Ar 
14.5,1284.1405,Th 
4.8,1284.52592,Th 
25,1285.05741,Ar   
105,1286.51625,Th 
450,1287.01606,Th 
6.3,1287.0328,Th 
21.7,1287.62278,Th 
25,1287.6897,Ar 
5.7,1287.70472,Th 
11.9,1289.17115,Th 
74,1290.23872,Th 
16,1290.37725,Th 
23,1290.6538,Ar 
30.8,1292.0511,Th 
36,1292.28246,Th 
15.1,1292.45586,Th 
10.6,1292.94261,Th
8.7,1293.56427,Th 
7200,1293.67322,Ar 
16.9,1293.70884,Th
31.5,1293.87663,Th 
8.6,1294.24835,Th 
6.1,1294.31061,Th 
59,1294.42033,Th
17,1294.7772,Ar 
170,1295.56258,Th 
57600,1296.0204,Ar 
398,1296.33625,Th 
10.4,1296.47377,Th 
13.9,1296.72381,Th 
5.2,1297.42809,Th 
8.3,1298.60844,Th 
37,1299.04819,Th 
6.7,1299.1729,Th 
113,1299.22534,Ar 
8,1299.31399,Th 
21.9,1299.8079,Th 
16.1,1300.78367,Th
6,1300.9715,Th
114,1301.13852,Th 
22100,1301.18219,Ar 
29.3,1301.37109,Th 
8.6,1302.02078,Th
177,1302.97484,Th 
720,1303.19892,Ar 
26.8,1303.469,Th 
14,1303.83377,Th 
43,1304.69732,Th 
3.4,1304.77468,Th 
10,1305.25963,Th 
54,1305.47472,Ar 
81,1305.94589,Th 
6.3,1305.96696,Th 
33,1307.29794,Th 
314,1307.44056,Th 
13.7,1310.47083,Th 
5.7,1310.5435,Th 
3.2,1310.64107,Th 
20,1311.0696,Ar 
5.2,1311.14898,Th 
14,1311.2672,Ar 
10.1,1312.03382,Th 
3.4,1312.76939,Th 
104,1313.15137,Th 
12.5,1313.20924,Th 
46,1313.38734,Ar 
11.8,1314.65338,Th 
3.1,1314.81448,Th 
57,1314.95072,Th
5.5,1315.2298,Th 
21.3,1315.2701,Th 
10.3,1315.45426,Th 
29,1315.74351,Ar 
6.2,1316.02076,Th 
21.8,1318.73837,Th 
13.9,1318.75475,Th 
11,1318.789,Th 
6.3,1320.45759,Th 
197,1320.88958,Th 
22900,1321.76071,Ar 
3.2,1322.70045,Th
20100,1323.17238,Ar 
12000,1323.4513,Ar 
91,1323.79046,Ar 
9.6,1323.84689,Th 
17,1323.9781,Th 
30.3,1324.33613,Th 
56,1324.75846,Ar 
7,1324.92811,Th 
24.7,1325.1353,Th 
13.7,1325.24806,Th 
154,1325.74859,Th 
22.4,1326.07037,Th 
9.2,1326.7259,Th 
8.1,1327.15075,Th 
6.8,1327.4957,Th 
65100,1327.62661,Ar 
115,1327.8978,Th 
5,1328.3283,Th 
43,1328.50799,Th 
4.8,1329.44575,Th 
3.9,1329.9664,Th 
1110,1330.59511,Ar 
44800,1331.6851,Ar 
4,1331.834,Th 
77,1332.11719,Ar 
1650,1333.37635,Ar 
5.1,1333.83111,Th 
28,1334.03514,Th 
70,1336.97013,Ar 
81500,1337.07674,Ar 
4400,1337.14824,Ar 
179,1337.24477,Th 
19,1337.7489,Ar 
6.6,1337.7664,Th 
55,1338.58722,Th 
13.4,1338.98938,Th 
69,1340.86132,Th 
14200,1341.02561,Ar 
43,1342.32411,Th 
20,1342.4949,Th 
10.5,1342.71566,Th 
41,1342.85971,Ar
12.9,1343.03647,Th 
21.9,1343.0579,Th 
11.7,1343.70023,Th 
4.9,1344.2771,Th 
49,1344.4252,Th 
30.3,1344.75964,Th 
42,1345.1431,Th 
26.9,1345.28846,Th 
106,1345.40069,Ar
8.8,1346.44537,Th   
94,1347.64094,Ar
16.1,1348.7883,Th 
18.3,1348.79926,Th 
8.7,1349.51358,Th 
45,1349.73067,Th 
6700,1350.30969,Ar 
36,1350.46946,Th 
107900,1350.78834,Ar 
5.3,1351.83698,Th 
7.3,1352.14075,Th 
260,1352.18435,Th 
11.6,1353.59104,Th 
15.7,1354.21275,Th 
23.3,1354.44447,Th 
2250,1354.79052,Ar 
12.7,1355.28038,Th 
5.5,1356.6092,Th 
870,1356.93713,Th 
27.5,1357.41185,Th 
3700,1357.73281,Ar 
64,1358.31189,Th 
19,1358.32216,Th 
56,1359.24935,Th 
9.7,1360.15307,Th 
12.8,1360.18823,Th 
12.4,1360.23161,Th 
6300,1360.30526,Ar 
16.7,1360.34136,Th 
8,1361.3323,Th 
47900,1362.63846,Ar 
19.5,1362.98437,Th
6,1363.0036,Th 
8.5,1363.26559,Th 
126,1363.72822,Ar
8.6,1363.98005,Th
116,1365.13392,Th 
33,1365.652,Ar 
30,1366.2044,Ar 
9.2,1366.61921,Th 
8.3,1366.63224,Th 
13.5,1366.84886,Th 
6.5,1367.6223,Th 
6.6,1368.07994,Th 
34200,1368.22906,Ar 
19.1,1368.62618,Th 
8.5,1370.2951,Th
151500,1372.23278,Ar 
16,1372.3457,Th 
92,1372.79445,Ar
15.9,1373.50212,Th 
9.6,1373.79729,Th 
9.1,1373.9196,Th 
13.8,1374.23309,Th 
107,1374.37074,Th 
7.7,1374.96315,Th 
4.2,1375.19178,Th 
20.5,1375.66886,Th 
5.1,1376.03269,Th
9.5,1376.39601,Th 
6.8,1377.7879,Th 
21,1378.26889,Th
8.4,1378.33539,Th 
87,1379.61873,Th 
5.2,1381.35664,Th 
19.7,1381.52575,Th
4.1,1381.93652,Th 
10000,1382.94948,Ar 
490,1383.21075,Ar 
1140,1383.21794,Ar 
26,1385.8828,Ar
123,1387.01924,Ar 
182,1387.07851,Ar 
44,1387.88731,Th 
64,1389.03136,Th 
293,1390.82907,Th 
1780,1391.12806,Ar 
9100,1391.43644,Ar 
16.9,1393.40392,Th 
177,1394.05399,Th 
66,1394.29739,Ar
17,1395.0323,Ar 
11.1,1396.86,Th 
4.2,1397.4191,Th 
8,1397.6159,Th 
37,1397.97475,Th 
15.5,1397.99091,Th 
148,1399.66337,Ar 
6.2,1399.69625,Th 
77,1403.04387,Th 
35,1403.23918,Th 
5.6,1403.6243,Th 
6.3,1406.5065,Th 
29,1406.5826,Ar 
20.8,1406.74556,Th 
18.3,1407.30259,Th 
22.7,1407.45967,Th
7.6,1407.71862,Th 
5.1,1408.1613,Ar
110,1408.36618,Th 
50,1408.89115,Ar
302,1409.4099,Th 
27000,1409.7494,Ar 
6.3,1410.4728,Th 
20.9,1410.52546,Th 
16,1415.25055,Th 
630,1417.25444,Th 
72,1417.85858,Ar 
8.1,1419.13558,Th 
10.4,1419.49217,Th 
40,1419.61988,Th 
88,1423.52148,Th 
7.1,1423.7185,Ar
4.3,1423.8785,Th 
16.8,1423.96112,Th 
8.1,1424.25487,Th 
9.1,1424.80999,Th 
2870,1425.30902,Ar 
233,1425.80394,Ar 
78,1425.8607,Th 
15,1425.8749,Ar 
3350,1426.07632,Ar 
76,1426.3137,Th 
12,1427.91353,Th
5.1,1428.7393,Th 
8.5,1430.05653,Th 
6.5,1431.04688,Th 
29.3,1431.7913,Th 
4.3,1434.39517,Th 
16.7,1434.7188,Th
30.9,1436.17615,Th 
10.2,1436.2864,Th 
6.5,1436.7611,Th 
15.1,1436.86376,Th 
5.7,1437.83452,Th 
6.4,1440.23813,Th 
30,1441.6482,Th 
8,1442.7334,Th 
530,1442.84778,Th 
21.7,1444.27517,Th 
11.4,1445.32941,Th 
46,1445.57101,Th 
13.5,1445.60951,Th 
3.2,1446.5454,Th 
6.2,1447.31374,Th 
24.4,1447.97913,Th 
8.9,1449.73753,Th 
6.3,1450.68831,Th 
23,1450.72012,Th
8.6,1452.39013,Th 
35,1453.73869,Th 
13.1,1454.99251,Th 
13.2,1455.21221,Th 
8.2,1456.09983,Th
7,1456.5626,Th 
13.8,1457.43294,Th 
11.8,1457.76134,Th 
167,1458.14448,Ar 
18.4,1458.37168,Th
195,1459.97248,Ar 
3080,1460.04637,Ar 
45,1460.25787,Ar 
15.5,1460.75497,Th
8.7,1460.81421,Th 
133,1462.29677,Th 
18.4,1463.18789,Th
10.2,1463.26949,Th 
9,1463.5635,Ar 
249,1463.63735,Ar 
5500,1463.84146,Ar 
169,1463.85054,Ar 
5900,1465.43531,Ar 
9.3,1465.54736,Th 
392,1465.89215,Th 
94,1468.12575,Th 
14,1468.8658,Ar 
1350,1469.70258,Ar 
107,1469.76915,Ar 
17.9,1469.95916,Th 
10.5,1472.03784,Th 
95,1472.28143,Th 
8.7,1472.3463,Th 
70,1472.35652,Ar 
1070,1474.31673,Ar 
78,1474.5356,Th 
13,1474.6218,Ar 
19.1,1476.0655,Th 
11.2,1476.87772,Th 
13.3,1477.60558,Th 
4.1,1478.1263,Th 
63,1478.7929,Ar 
55,1478.94284,Ar 
332,1479.0104,Ar 
12.8,1480.19215,Th 
20,1480.94646,Th 
116,1481.05067,Th 
4.8,1481.30785,Th 
4.8,1483.4049,Th 
12.8,1483.42678,Th 
44,1483.75327,Ar 
88,1488.0573,Ar 
31,1490.2205,Ar 
7.7,1491.45111,Th 
5,1491.5069,Th 
7.9,1491.51195,Th 
27.1,1493.25694,Th 
28.2,1493.3118,Th 
38,1494.45844,Th
201,1494.80675,Th 
11.6,1495.13877,Th 
55,1497.1046,Ar 
5.4,1497.2578,Th 
5.5,1497.4848,Th 
27,1497.8662,Ar 
24.4,1498.14159,Th 
41,1498.89843,Th 
26.5,1499.26961,Th
8.2,1499.8652,Th 
14.4,1499.87553,Th 
13.4,1501.41268,Th 
11.3,1502.59036,Th 
410,1503.4622,Ar 
136,1503.52759,Ar 
18.4,1504.95183,Th 
20800,1505.06179,Ar 
8.1,1505.3777,Th 
8.1,1505.60584,Th
25,1505.6679,Ar 
7.6,1506.9835,Th 
7.1,1509.4934,Th 
5.5,1509.9489,Th 
34,1510.34533,Th 
8.8,1510.49519,Th 
13.4,1511.66107,Th 
8.6,1514.74825,Th 
5300,1517.68355,Ar 
66,1518.18785,Ar 
32,1519.30058,Th
4.1,1519.4503,Th 
16.3,1519.49248,Th 
26.8,1524.34509,Th 
26.8,1524.44165,Th
6.7,1526.852,Th 
12.4,1527.75,Th 
10,1527.7938,Ar 
32,1527.8899,Ar 
5.1,1528.6209,Th 
8.7,1529.53867,Th 
9,1529.6678,Th 
8100,1530.60653,Ar 
166,1531.14722,Th 
9.1,1532.0121,Th
2140,1533.35353,Ar 
41,1535.27149,Ar 
1700,1535.34412,Ar 
900,1535.73219,Ar 
73,1535.98825,Th 
10,1539.99185,Th 
1730,1540.68529,Ar 
460,1543.39963,Th 
7.8,1544.3765,Th 
50,1544.43282,Th 
107,1545.09538,Ar 
14.2,1547.70897,Th 
6.9,1547.754,Th 
92,1552.06728,Th 
4.5,1552.7393,Th 
7.4,1554.69081,Th 
22.1,1555.59241,Th 
5.9,1555.74896,Th 
92,1555.97122,Ar 
15,1557.37521,Th 
40,1557.63687,Th 
6.8,1557.6614,Th 
5.3,1558.012,Th 
150,1558.08313,Th 
7.4,1558.7889,Th 
13.6,1558.94794,Th 
35,1560.29357,Th 
19.6,1560.30842,Th 
5.2,1561.241,Th 
8.3,1561.3194,Th 
11.2,1563.25406,Th 
12.3,1563.87476,Th 
14.7,1564.47201,Th
13.5,1564.56043,Th 
12.1,1568.04386,Th 
15,1570.55889,Th 
28.7,1571.74398,Th 
159,1573.92066,Ar 
10.9,1574.81813,Th 
4.4,1577.187,Th
42,1578.09219,Ar 
78,1579.74668,Ar 
18.5,1581.98153,Th
251,1582.10956,Ar 
9.6,1582.94981,Th 
291,1583.60713,Th 
9.8,1585.20525,Th 
390,1588.75057,Ar 
19.9,1589.5904,Th 
15.1,1589.61934,Th 
21.4,1590.38826,Th 
2560,1590.40309,Ar 
20.6,1592.64738,Th 
14.4,1593.67698,Th
10.9,1594.04197,Th 
24.1,1595.88053,Th 
12,1596.43756,Th 
10,1598.2757,Th 
5900,1599.38589,Ar 
7.2,1600.2204,Th 
53,1601.01258,Th 
8.8,1601.26882,Th 
7,1601.8791,Th 
4.9,1603.7535,Th 
14.5,1604.28853,Th 
4.8,1607.637,Th 
9.5,1607.6978,Th 
84,1611.41905,Th 
480,1612.7063,Ar 
7.6,1614.7168,Th 
16.5,1615.19998,Th 
25,1615.6839,Ar 
7.7,1618.288,Th 
950,1618.44406,Ar 
25.2,1622.51594,Th 
12.4,1624.25621,Th 
10.9,1624.4895,Th
189,1626.8511,Ar 
14.7,1628.47271,Th 
15.8,1630.85882,Th 
4.2,1631.3039,Th 
12.7,1631.51507,Th 
4.7,1633.4268,Th 
10.2,1634.52088,Th 
4.3,1636.8092,Th 
24.7,1638.53855,Th
18.5,1641.7292,Th 
3740,1644.10689,Th 
24,1650.83025,Th 
4800,1652.43783,Ar 
11.2,1653.88402,Th 
7.3,1654.2908,Th 
64,1654.49369,Th 
1860,1655.37824,Ar 
200,1655.49108,Ar 
16.3,1659.23525,Th 
4.2,1659.4086,Th 
11.2,1659.66437,Th 
12.6,1660.38887,Th 
4.5,1662.9152,Th 
16.1,1670.92059,Th 
11.5,1671.70001,Th 
8.8,1673.4585,Th 
2170,1674.46481,Ar 
6.9,1675.2072,Th 
41,1675.30188,Th 
131,1677.31283,Th 
9.2,1678.9642,Th 
6.2,1678.9799,Th 
24,1682.55237,Th 
7.8,1685.7228,Th 
39,1686.46988,Ar 
7.9,1688.39082,Th
10.2,1689.46809,Th
16.8,1694.33543,Th 
40500,1694.52121,Ar 
11.4,1700.93386,Th 
6.1,1701.3193,Th 
10.2,1708.04047,Th 
19.1,1708.34561,Th 
6.1,1709.2997,Th 
8.3,1711.821,Th 
10.3,1712.59842,Th 
23.5,1713.88351,Th 
31,1714.00079,Th 
7.1,1714.9894,Th 
5.9,1717.0449,Th 
7.5,1719.1581,Th 
35,1721.29217,Th
8.2,1723.03654,Th 
16.6,1726.88749,Th 
16.1,1727.26435,Th 
42,1730.0831,Ar 
338,1731.23846,Th 
70,1738.53476,Th 
368,1738.6653,Th 
40,1739.01065,Th 
6.4,1739.9322,Th 
300,1740.6654,Ar 
28.8,1740.90754,Th 
2130,1744.96662,Ar 
225,1745.00123,Th 
5.3,1747.8469,Th 
178,1748.58264,Th
4.6,1751.3129,Th 
4,1752.6507,Th 
9.1,1753.9303,Th
15.7,1755.74555,Th 
16.5,1757.79095,Th 
304,1758.93104,Th 
147,1762.78995,Th 
11.2,1763.08441,Th 
8,1763.7357,Ar
13.2,1763.91414,Th 
4.6,1765.4292,Th 
6.8,1767.4425,Th 
8.3,1768.2302,Th 
10.8,1768.8645,Th 
6.6,1769.3572,Th 
10,1770.12548,Th 
15.3,1770.85007,Th 
9.4,1772.5187,Th 
65,1774.97432,Th 
4,1776.194,Th 
40,1778.80182,Th 
6.1,1779.3058,Th 
1190,1782.88641,Th 
52,1783.07403,Th 
6,1786.1375,Ar
5.9,1787.8471,Th 
4.3,1788.7925,Th 
9.7,1789.1555,Th 
248,1789.20671,Ar 
9.1,1789.285,Th 
83,1789.30545,Ar 
16,1791.0201,Ar
1710,1791.95214,Ar 
11600,1791.96186,Ar 
18.3,1794.13369,Th
6.9,1796.0764,Th 
59,1796.98217,Th 
16.4,1798.18788,Th 
11.3,1799.8698,Th 
9.7,1801.248,Th 
53,1807.72655,Th 
14,1810.8044,Th 
63,1813.09098,Th 
5.7,1816.653,Th 
91,1819.07249,Ar 
55,1823.63217,Ar 
10.4,1824.44,Th
73,1824.80031,Ar 
8,1827.6368,Th
8.4,1828.9639,Th 
14,1835.1596,Th 
75,1835.30116,Ar 
33,1836.6349,Ar 
9,1837.9867,Ar 
640,1842.30813,Ar 
120,1842.32102,Ar 
11,1842.666,Ar 
2510,1843.27994,Ar 
163,1843.34312,Ar 
1260,1843.44786,Ar 
41,1844.3596,Ar
29,1844.55228,Th 
9,1846.7192,Ar
12,1846.7592,Ar
47,1847.34939,Th 
23,1849.0713,Ar 
173,1849.17613,Ar 
18,1849.4308,Ar
11,1849.452,Ar
17.9,1849.56842,Th 
39,1852.5064,Ar
11,1852.9351,Th 
21.9,1856.30382,Th 
272,1856.92946,Ar 
400,1857.52348,Ar 
48,1857.66552,Ar 
49,1858.0021,Ar
27.5,1860.09362,Th 
6.9,1860.6928,Th 
26,1860.956,Ar
391,1863.73678,Ar 
46,1864.6766,Ar 
38,1865.68479,Th 
10.3,1866.231,Th 
21.1,1867.44402,Th 
9,1873.59128,Th 
195,1875.01178,Ar 
33,1876.8591,Ar 
30,1877.3709,Ar 
18.1,1877.75806,Th
11.1,1880.754,Th 
279,1881.70093,Th 
11.4,1885.5864,Th 
20.8,1887.07439,Th 
21,1888.293,Ar 
82,1889.18576,Th 
8.2,1892.4952,Th 
12.4,1894.7263,Th 
31,1896.5083,Ar 
21.3,1898.97174,Th 
11.6,1902.38,Th 
35,1902.4172,Ar 
4.1,1905.557,Th 
9.4,1907.8494,Th 
19.7,1907.96183,Th 
7.8,1909.3811,Th 
8.6,1911.3715,Th 
10.7,1911.83205,Th 
40,1912.903,Ar 
18,1914.85026,Th
33,1915.08494,Th
19,1915.30672,Th 
38,1915.70366,Th 
67,1918.0504,Ar 
24,1918.2016,Ar 
7.2,1918.3612,Th 
7.7,1919.5879,Th 
7.9,1920.98956,Th 
29,1930.0178,Ar 
7.8,1932.3149,Th 
27.3,1934.42638,Th
12,1939.6613,Th 
8.7,1940.2069,Th 
17.1,1940.57622,Th 
11,1947.7609,Ar 
10.7,1948.2073,Th 
18,1960.04155,Th 
8.1,1962.2494,Th 
58,1963.3592,Ar 
17,1964.4249,Ar
4.8,1964.989,Th
45,1967.38211,Th 
8.5,1967.5264,Th 
13.7,1967.98846,Th 
29.4,1968.85957,Th
6.6,1968.8796,Th
51,1974.68108,Th 
13.4,1977.05621,Th 
16.1,1977.97024,Th
29.9,1979.14234,Th 
2320,1982.29091,Ar 
6,1985.8316,Th 
5.7,1986.308,Th 
5.9,1988.7714,Th 
15.8,1990.81364,Th 
44,1990.8552,Ar 
301,1995.05093,Ar 
1150,1997.11802,Ar 
33,1999.7689,Ar 
